exp_label,turn_index,bucket,tenant_id,group_label,rank_in_batch,delay_from_earliest_first_token_ms,prefill_ms,computation_tokens,kv_history_tokens,prefix_hit_rate
exp3,1,fastest,25,Group2,4,362.61314299190417,361.8876120017376,47.0,0.0,0.0
exp3,1,slowest,15,Group1,29,362.61314299190417,361.8876120017376,1.0,0.0,0.9795918367346939
exp3,1,slowest,27,Group2,30,362.61314299190417,361.8876120017376,905.0,0.0,0.0
exp3,1,slowest,21,Group2,31,362.61314299190417,361.8876120017376,15.0,0.0,0.6808510638297872
exp3,1,slowest,19,Group2,32,362.61314299190417,361.8876120017376,15.0,0.0,0.6808510638297872
exp3,2,fastest,5,Group1,1,0.0,787.5461780058686,2303.0,2119.0,0.02703844528939586
exp3,2,fastest,27,Group2,2,2484.838452000986,3238.3888869953807,840.0,1418.0,0.5161290322580645
exp3,2,fastest,25,Group2,3,2484.838452000986,3238.3888869953807,565.0,561.0,0.07830342577487764
exp3,2,fastest,13,Group1,4,2484.838452000986,3238.3888869953807,2192.0,2100.0,0.02142857142857143
exp3,2,slowest,11,Group1,14,7103.4670310036745,7102.8744600043865,2192.0,2100.0,0.02142857142857143
exp3,2,slowest,8,Group1,15,7103.4670310036745,7102.8744600043865,2192.0,2100.0,0.02142857142857143
exp3,2,slowest,18,Group2,16,7103.4670310036745,7102.8744600043865,565.0,561.0,0.07830342577487764
exp3,2,slowest,1,Group1,17,11898.139694996644,11897.547123997356,2107.0,2685.0,0.22848773343097767
exp3,3,fastest,24,Group2,1,0.0,290.0193060049787,661.0,1127.0,0.4791174152876281
exp3,3,fastest,31,Group2,2,384.7756049945019,646.8679199897451,772.0,1326.0,0.5089058524173028
exp3,3,fastest,25,Group2,3,384.7756049945019,646.8679199897451,661.0,1127.0,0.4791174152876281
exp3,3,fastest,14,Group1,4,10044.542578005348,10044.01651500666,2314.0,4290.0,0.4918752744839701
exp3,3,slowest,19,Group2,16,19976.27597900282,19591.160259005846,660.0,1126.0,0.4794952681388013
exp3,3,slowest,1,Group1,17,19976.27597900282,19975.749916004133,2147.0,4781.0,0.5588658311074584
exp3,3,slowest,7,Group1,18,19976.27597900282,19591.160259005846,2314.0,4290.0,0.4918752744839701
exp3,3,slowest,10,Group1,19,28200.199900005828,27815.084180008853,2314.0,4290.0,0.4918752744839701
exp3,4,fastest,32,Group2,1,0.0,388.06630999897607,601.0,2084.0,0.722913785154449
exp3,4,fastest,22,Group2,2,6145.327698002802,6145.014487003209,741.0,1785.0,0.6304239401496259
exp3,4,fastest,29,Group2,3,6145.327698002802,6145.014487003209,601.0,2084.0,0.722913785154449
exp3,4,fastest,30,Group2,4,6145.327698002802,6145.014487003209,601.0,2084.0,0.722913785154449
exp3,4,slowest,15,Group1,18,24301.77449900657,18155.8684160118,2296.0,6603.0,0.664327485380117
exp3,4,slowest,28,Group2,19,24301.77449900657,18155.8684160118,533.0,2718.0,0.8044036697247706
exp3,4,slowest,3,Group1,20,24301.77449900657,18155.8684160118,2062.0,6916.0,0.7022812590239677
exp3,4,slowest,27,Group2,21,40039.98722300457,33894.0811400098,604.0,2771.0,0.7888111888111888
exp3,5,fastest,30,Group2,1,0.0,431.2187950126827,586.0,2683.0,0.786598689002185
exp3,5,fastest,20,Group2,2,16573.557002993766,16573.10175499879,710.0,2518.0,0.7380073800738007
exp3,5,fastest,28,Group2,3,16573.557002993766,16573.10175499879,560.0,3239.0,0.8292682926829268
exp3,5,fastest,27,Group2,4,16573.557002993766,16573.10175499879,544.0,3374.0,0.839622641509434
exp3,5,slowest,1,Group1,28,48155.61011299724,31581.59274799982,2103.0,9001.0,0.7675472532331159
exp3,5,slowest,15,Group1,29,48155.61011299724,31581.59274799982,2142.0,8890.0,0.7613104524180967
exp3,5,slowest,11,Group1,30,48155.61011299724,31581.59274799982,2142.0,8890.0,0.7613104524180967
exp3,5,slowest,16,Group1,31,54339.82482299325,37765.807457995834,2245.0,8661.0,0.7464136450920592
exp3,6,fastest,10,Group1,1,0.0,4012.0040830079233,2208.0,11024.0,0.8022922636103151
exp3,6,fastest,20,Group2,2,25896.09717798885,25895.382476999657,685.0,3224.0,0.7978754794924756
exp3,6,fastest,4,Group1,3,25896.09717798885,25895.382476999657,2317.0,11042.0,0.7951189318242108
exp3,6,fastest,11,Group1,4,25896.09717798885,25895.382476999657,2208.0,11024.0,0.8022922636103151
exp3,6,slowest,12,Group1,22,49050.98301799444,48991.942451000796,2208.0,11024.0,0.8022922636103151
exp3,6,slowest,23,Group2,23,49050.98301799444,48991.942451000796,685.0,3224.0,0.7978754794924756
exp3,6,slowest,25,Group2,24,49050.98301799444,48991.942451000796,685.0,3224.0,0.7978754794924756
exp3,6,slowest,13,Group1,25,67879.39348300279,67820.35291600914,2209.0,11025.0,0.802220431551616
exp3,7,fastest,4,Group1,1,0.0,5234.5973560004495,2327.0,13358.0,0.829386318645062
exp3,7,fastest,15,Group1,2,29774.644631004776,29773.67582100851,2141.0,13218.0,0.8391314148320685
exp3,7,fastest,24,Group2,3,29774.644631004776,29773.67582100851,640.0,3903.0,0.8406374501992032
exp3,7,fastest,7,Group1,4,29774.644631004776,29773.67582100851,2142.0,13219.0,0.839068369646882
exp3,7,slowest,11,Group1,13,47801.85588799941,47708.88087700587,2139.0,13216.0,0.8392575336289171
exp3,7,slowest,3,Group1,14,47801.85588799941,47708.88087700587,2346.0,13361.0,0.8280310804867321
exp3,7,slowest,20,Group2,15,47801.85588799941,47800.88707800314,3968.0,3903.0,0.01195219123505976
exp3,7,slowest,13,Group1,16,63670.91749300016,63577.94248200662,2142.0,13219.0,0.839068369646882
exp3,8,fastest,14,Group1,1,0.0,5947.4363530025585,2306.0,15360.0,0.8521984360979361
exp3,8,slowest,19,Group2,7,42308.98453599366,42308.290182991186,4559.0,4527.0,0.010418927718688952
exp3,9,fastest,7,Group1,1,0.0,14912.44744200958,5667.0,17652.0,0.6815397583590896
exp3,9,fastest,18,Group2,2,9285.628729994642,24152.778114003013,5382.0,5122.0,0.008839779005524863
exp3,9,slowest,32,Group2,9,30200.728319003247,30199.96504401206,5362.0,5302.0,0.0088724584103512
exp3,9,slowest,12,Group1,10,47259.00546099001,47258.242185998824,2194.0,17651.0,0.8767000112397437
exp3,10,fastest,23,Group2,1,0.0,3838.340166010312,6056.0,5946.0,0.007863695937090432
exp3,10,slowest,7,Group1,7,69936.21293899196,69905.96986599849,19883.0,19845.0,0.002408308664893884
